Time,Latitude,Longitude
13/01/2022 15:26:29,-49.6950705291745,-15.642629340669703
13/01/2022 15:26:51,-49.2630666861362,-13.670545545311095
13/01/2022 15:26:59,-49.0895039507167,-12.931440792422558
13/01/2022 15:27:37,-48.24185604696651,-9.660129053375341
13/01/2022 16:04:08,47.67972107522868,102.65087515667017
13/01/2022 16:38:46,-18.989483530771192,-130.22198766255107
13/01/2022 16:38:51,-19.234289696999035,-130.01894244202646
13/01/2022 16:38:56,-19.478796358285905,-129.81525025072278
13/01/2022 16:39:01,-19.723136996963824,-129.6107851118047
13/01/2022 16:39:06,-19.967263963576062,-129.40557144792038
13/01/2022 16:39:11,-20.21089292996081,-129.1998345333261
13/01/2022 16:39:16,-20.454237877292044,-128.9933801887222
13/01/2022 16:39:21,-20.697567126248156,-128.78596425214627
13/01/2022 16:39:26,-20.940506334713653,-128.57788971343538
13/01/2022 16:39:31,-21.18332226615184,-128.36891241201056
13/01/2022 16:39:36,-21.425769795141182,-128.15922729209257
13/01/2022 16:39:41,-21.667814836256756,-127.94884938181173
15/01/2022 21:13:46,-9.794305311094844,140.1194817335595,
15/01/2022 21:13:54,-10.222066734031971,140.43398512161468,
15/01/2022 21:14:03,-10.647898354853757,140.74828171051607,
15/01/2022 21:14:11,-11.07625849024159,141.06572291422185,
15/01/2022 21:14:20,-11.503297907708172,141.3835207179039,
15/01/2022 21:14:28,-11.926584240059228,141.69990036691036,
15/01/2022 21:14:37,-12.353436859066877,142.02039228012228,
15/01/2022 21:14:45,-12.778882843951534,142.34133518677902,
15/01/2022 21:29:14,-48.49963924364427,-168.82359093066358,
15/01/2022 21:29:23,-48.69468023407522,-168.08198944171713,
15/01/2022 21:29:32,-48.884190277137755,-167.3354394617721,
15/01/2022 21:29:40,-49.06979720276915,-166.5770463941646,
15/01/2022 21:29:49,-49.24976600261814,-165.8133825587113,
15/01/2022 21:29:57,-49.42278723011195,-165.0501730113444,
15/01/2022 21:30:06,-49.590354078125074,-164.2809543900938,
15/01/2022 21:30:14,-49.753150865929356,-163.5020907695379,
15/01/2022 21:35:46,-51.18024933771588,-131.23709157176543,
15/01/2022 21:35:55,-51.08629255740597,-130.40455669546554,
15/01/2022 21:36:03,-50.986140593513305,-129.57742435021802,
15/01/2022 21:36:12,-50.880352708680434,-128.75938715499376,
15/01/2022 21:36:20,-50.76899014656826,-127.94978219723427,
15/01/2022 21:36:29,-50.6495491453095,-127.13100814244451,
15/01/2022 21:36:38,-50.52479254120401,-126.32244231230821,
15/01/2022 21:36:46,-50.3950041113638,-125.5247237621726,
